District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
1894,Baker SD 5J,8,Baker High School,Greg Mitchell,Grade(s) 9-12,H,Baker,416,*,7,12%,36%,97%,27,6,1,15%,Yes,17,No Change,,25,71%,Decrease,4%,80%,,,,,,,,,,,,,,83%,Decrease,5%,85%,79%,Decrease,8%,77%,89%,Increase,3%,83%
1894,Baker SD 5J,1,Baker Middle School,Skye Flanagan,Grade(s) 7-8,M,Baker,226,5%,2,13%,53%,93%,14,6,0,23%,Yes,22,Increase,4,25,82%,Increase,4%,80%,Average,53%,Increase,2%,57%,39%,Increase,4%,42%,61%,Decrease,9%,61%,,,,,,,,,,,,
1894,Baker SD 5J,4728,Baker Web Academy,Roland Hobson,Grade(s) K-12,H,Baker,1480,<5%,17,12%,51%,73%,63,2,4,31%,No,13,Increase,5,25,>95%,No Change,,80%,,,,,,,,,,,,,,68%,Increase,17%,85%,53%,Increase,10%,77%,59%,Increase,8%,83%
1894,Baker SD 5J,2,Brooklyn Primary School,Phil Anderson,Grade(s) K-3,E,Baker,455,<5%,4,22%,63%,93%,28,14,1,20%,Yes,23,Increase,2,25,82%,Decrease,2%,80%,*,40%,Decrease,8%,48%,44%,Decrease,6%,47%,*,No Change,,,,,,,,,,,,,,
1894,Baker SD 5J,3493,EAGLE CAP Innovative HS,Mark Witty,Grade(s) 9-12,H,Baker,20,*,1,*,*,96%,1,1,0,19%,Yes,3,Decrease,6,25,57%,Increase,7%,80%,,,,,,,,,,,,,,*,No Change,,85%,70%,Increase,20%,77%,55%,Increase,11%,83%
1894,Baker SD 5J,4,Haines Elementary School,Kathryn Collier,Grade(s) K-6,E,Baker,155,*,2,13%,43%,94%,8,7,0,14%,Yes,22,Increase,1,25,87%,Increase,1%,80%,Low,68%,Decrease,7%,52%,56%,Decrease,9%,43%,82%,Increase,9%,65%,,,,,,,,,,,,
1894,Baker SD 5J,5,Keating Elementary School,Amanda Wilde,Grade(s) K-6,E,Baker,25,*,1,*,44%,77%,2,2,0,22%,Yes,12.5,Decrease,1,25,83%,Decrease,5%,80%,High,*,No Change,,52%,*,No Change,,43%,*,No Change,,65%,,,,,,,,,,,,
1894,Baker SD 5J,7,South Baker Intermediate School,Geno Bates,Grade(s) 4-6,E,Baker,346,5%,2,15%,58%,96%,19,13,0,24%,No,26,No Change,,25,85%,Decrease,1%,80%,Low,46%,Increase,3%,53%,41%,No Change,,41%,75%,Increase,14%,65%,,,,,,,,,,,,
1969,Bandon SD 54,218,Bandon Senior High School,Sabrina Belletti,Grade(s) 9-12,H,Coos,209,*,3,14%,51%,94%,14,6,0,21%,No,14,Decrease,3,25,75%,Decrease,5%,80%,,,,,,,,,,,,,,80%,Decrease,8%,85%,73%,Decrease,9%,77%,86%,Increase,2%,83%
1969,Bandon SD 54,216,Harbor Lights Middle School,Doug Ardiana,Grade(s) 5-8,M,Coos,234,*,2,18%,62%,88%,12,11,0,23%,Yes,33,Increase,5,25,75%,Decrease,2%,80%,Average,59%,Decrease,5%,56%,38%,Decrease,2%,41%,78%,Decrease,9%,64%,,,,,,,,,,,,
1969,Bandon SD 54,217,Ocean Crest Elementary School,Becky Armistead,Grade(s) K-4,E,Coos,243,*,1,12%,56%,87%,13,6,0,25%,No,26,Increase,2,25,69%,Increase,3%,80%,High,45%,Increase,9%,49%,32%,Increase,4%,46%,*,No Change,,,,,,,,,,,,,,
2240,Banks SD 13,1120,Banks Elementary School,Darla Waite-Larkin,Grade(s) K-5,E,Washington,482,<5%,7,17%,29%,93%,24,9,1,7%,No,27,No Change,,25,88%,Increase,4%,80%,Average,49%,No Change,,51%,38%,Decrease,3%,44%,61%,Increase,6%,65%,,,,,,,,,,,,
2240,Banks SD 13,1124,Banks High School,Jacob Pence,Grade(s) 9-12,H,Washington,372,<5%,5,12%,21%,98%,19,2,2,12%,Yes,21,Decrease,3,25,79%,Increase,5%,80%,,,,,,,,,,,,,,>95%,Increase,>3%,85%,91%,Decrease,1%,77%,93%,Decrease,1%,83%
2240,Banks SD 13,1123,Banks Middle School,Dan Van Winkle,Grade(s) 6-8,M,Washington,276,*,6,17%,31%,97%,13,6,1,16%,Yes,28,Decrease,3,25,84%,Increase,5%,80%,Average,51%,Increase,1%,56%,43%,Decrease,3%,41%,73%,Decrease,1%,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1186,Aloha High School,Matt Casteel,Grade(s) 9-12,H,Washington,1797,40%,40,17%,59%,97%,99,16,7,12%,No,27,No Change,,25,68%,Decrease,4%,80%,,,,,,,,,,,,,,81%,Increase,2%,85%,78%,Increase,2%,77%,87%,Increase,4%,83%
2243,Beaverton SD 48J,1153,Aloha-Huber Park School,Scott Drue,Grade(s) K-8,E,Washington,919,53%,29,12%,77%,96%,54,11,2,13%,No,25,Decrease,1,25,85%,Decrease,2%,80%,High,53%,Increase,8%,54%,52%,Increase,3%,42%,46%,Increase,1%,64%,,,,,,,,,,,,
2243,Beaverton SD 48J,4805,Arco Iris Spanish Immersion School,Bob Kaminski,Grade(s) 1-8,E,Washington,311,14%,10,<5%,<5%,91%,17,1,0,32%,Yes,25,Increase,1,25,92%,No Change,,80%,High,85%,Increase,9%,54%,65%,Increase,8%,42%,70%,Decrease,11%,64%,,,,,,,,,,,,
2243,Beaverton SD 48J,1304,Arts and Communication Magnet Academy,Bjorn Paige,Grade(s) 6-12,H,Washington,654,9%,15,9%,22%,95%,34,4,3,8%,Yes,25,Decrease,1,25,81%,Decrease,1%,80%,,,,,,,,,,,,,,95%,Increase,3%,85%,98%,Increase,9%,77%,99%,Increase,1%,83%
2243,Beaverton SD 48J,1154,Barnes Elementary School,Paul Marietta,Grade(s) K-5,E,Washington,630,48%,18,12%,64%,97%,39,10,1,19%,Yes,25,Increase,3,25,79%,Decrease,2%,80%,Average,37%,Increase,2%,51%,18%,Decrease,3%,44%,39%,Decrease,13%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1155,Beaver Acres Elementary School,Stacy Geale,Grade(s) K-5,E,Washington,716,32%,27,14%,58%,94%,45,18,1,13%,No,23,Decrease,1,25,84%,Decrease,3%,80%,Average,59%,Increase,7%,51%,46%,No Change,,44%,56%,Increase,11%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1187,Beaverton High School,Anne Erwin,Grade(s) 9-12,H,Washington,1608,39%,41,15%,47%,96%,91,17,6,10%,No,25,Decrease,2,25,73%,Decrease,1%,80%,,,,,,,,,,,,,,77%,Decrease,6%,85%,82%,Increase,2%,77%,89%,Increase,4%,83%
2243,Beaverton SD 48J,1156,Bethany Elementary School,Casey Lange,Grade(s) K-5,E,Washington,538,19%,35,8%,15%,93%,29,5,1,16%,Yes,23,Decrease,1,25,92%,Decrease,2%,80%,High,81%,Decrease,4%,51%,81%,Decrease,2%,44%,88%,Decrease,3%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,4671,Bonny Slope Elementary School,Janet Maza,Grade(s) K-5,E,Washington,640,12%,28,7%,10%,93%,31,7,1,20%,No,26.5,Increase,1,25,93%,Decrease,1%,80%,High,86%,Increase,3%,51%,83%,Increase,4%,44%,84%,Decrease,6%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1158,Cedar Mill Elementary School,Amy Chamberlain,Grade(s) K-5,E,Washington,438,14%,27,9%,14%,93%,23,3,1,15%,Yes,24,Increase,1,25,94%,Increase,1%,80%,High,78%,Increase,1%,51%,71%,Decrease,4%,44%,88%,Decrease,>7%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1180,Cedar Park Middle School,Shannon Anderson,Grade(s) 6-8,M,Washington,1013,19%,32,15%,26%,96%,49,15,3,18%,Yes,29,Decrease,3,25,85%,Decrease,2%,80%,Average,70%,Increase,3%,56%,57%,No Change,,41%,70%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1159,Chehalem Elementary School,Angee Silliman,Grade(s) K-5,E,Washington,491,33%,23,12%,59%,93%,32,8,1,20%,No,23.5,Increase,2,25,84%,Decrease,3%,80%,High,49%,Increase,4%,51%,43%,Increase,8%,44%,80%,Increase,8%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1305,Community School,Rachel Sip,Grade(s) 9-12,H,Washington,154,38%,7,36%,74%,100%,18,10,4,10%,Yes,11,Increase,1,25,73%,Increase,15%,80%,,,,,,,,,,,,,,90%,Increase,13%,85%,54%,Increase,1%,77%,84%,Increase,12%,83%
2243,Beaverton SD 48J,1319,Conestoga Middle School,Zan Hess,Grade(s) 6-8,M,Washington,956,22%,31,14%,31%,96%,45,9,2,17%,No,29,No Change,,25,85%,Decrease,1%,80%,Average,69%,Increase,1%,56%,57%,Increase,5%,41%,70%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1160,Cooper Mountain Elementary School,Kristin LeMon,Grade(s) K-5,E,Washington,523,11%,23,14%,18%,96%,28,10,1,14%,No,23,Decrease,3,25,92%,Increase,1%,80%,High,61%,No Change,,51%,62%,Increase,1%,44%,78%,Decrease,4%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1162,Elmonica Elementary School,Cynthia Lam-Moffett,Grade(s) K-5,E,Washington,704,41%,28,10%,47%,97%,41,7,1,25%,No,26,No Change,,25,87%,No Change,,80%,Average,52%,Decrease,1%,51%,43%,Decrease,11%,44%,67%,Increase,5%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1161,Errol Hassell Elementary School,Scarlet Valentine,Grade(s) K-5,E,Washington,485,20%,16,15%,37%,95%,27,13,1,21%,No,25,Decrease,1,25,88%,Increase,2%,80%,Average,61%,Decrease,2%,51%,61%,Increase,3%,44%,76%,Decrease,14%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1370,Findley Elementary,Sherry Marsh,Grade(s) K-5,E,Washington,728,14%,37,5%,<5%,94%,38,6,1,16%,No,25,Decrease,1,25,95%,No Change,,80%,High,92%,Increase,1%,51%,92%,Increase,2%,44%,94%,No Change,,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1163,Fir Grove Elementary School,Erin Miles,Grade(s) K-5,E,Washington,439,26%,16,12%,49%,95%,28,5,1,11%,Yes,24,Decrease,1,25,89%,Decrease,2%,80%,Average,48%,Decrease,5%,51%,33%,Decrease,7%,44%,58%,Decrease,13%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1181,Five Oaks Middle School,Shirley Brock,Grade(s) 6-8,M,Washington,1039,39%,30,15%,62%,95%,55,13,4,10%,No,30,Increase,1,25,78%,Decrease,3%,80%,Average,47%,Decrease,2%,56%,38%,Decrease,2%,41%,48%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1157,Greenway Elementary School,Jen Bailey,Grade(s) K-5,E,Washington,354,40%,19,14%,65%,95%,27,8,1,18%,Yes,19.5,Decrease,2,25,83%,Increase,4%,80%,High,52%,Increase,5%,51%,35%,Increase,1%,44%,76%,Increase,16%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1164,Hazeldale Elementary School,Angela Tran,Grade(s) K-5,E,Washington,458,34%,17,20%,51%,96%,34,9,1,23%,No,22,Decrease,1,25,87%,Increase,1%,80%,Average,64%,Increase,3%,51%,48%,Decrease,11%,44%,74%,Increase,6%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,4638,Health & Science School,Andrew Cronk,Grade(s) 6-12,H,Washington,709,31%,28,10%,39%,97%,37,2,3,15%,No,24,No Change,,25,82%,Decrease,4%,80%,,,,,,,,,,,,,,87%,Increase,5%,85%,96%,Increase,2%,77%,99%,Increase,3%,83%
2243,Beaverton SD 48J,1184,Highland Park Middle School,Curtis Semana,Grade(s) 6-8,M,Washington,918,22%,24,13%,31%,97%,42,9,2,13%,Yes,27,Decrease,1,25,88%,Decrease,1%,80%,Average,59%,No Change,,56%,51%,Increase,2%,41%,64%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1165,Hiteon Elementary School,Meghan Warren,Grade(s) K-5,E,Washington,664,13%,19,16%,28%,93%,35,11,1,15%,No,26,Increase,1,25,90%,Decrease,3%,80%,Average,75%,Increase,2%,51%,68%,No Change,,44%,74%,Decrease,6%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,4867,Hope Chinese Charter School,Julie Rickman,Grade(s) K-6,E,Washington,237,11%,15,5%,*,91%,15,4,0,50%,No,26,No Change,,25,93%,Decrease,>2%,80%,High,80%,No Change,,52%,80%,Decrease,10%,43%,>95%,Increase,>7%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,4474,International School of Beaverton,Jill O'Neill,Grade(s) 6-12,H,Washington,867,24%,41,<5%,19%,98%,42,1,4,19%,No,29,Increase,1,25,95%,Increase,1%,80%,,,,,,,,,,,,,,>95%,No Change,,85%,99%,No Change,,77%,100%,No Change,,83%
2243,Beaverton SD 48J,3437,Jacob Wismer Elementary School,Joan McFadden,Grade(s) K-5,E,Washington,736,21%,32,5%,5%,95%,38,6,1,12%,No,25,Decrease,2,25,94%,Decrease,>1%,80%,High,90%,Increase,2%,51%,89%,Decrease,2%,44%,90%,Decrease,>5%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1166,Kinnaman Elementary School,Ashlee Hudson,Grade(s) K-5,E,Washington,688,33%,17,14%,66%,97%,40,15,1,11%,No,25,No Change,,25,86%,Decrease,3%,80%,Average,53%,Increase,3%,51%,39%,Decrease,3%,44%,53%,Increase,10%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1168,McKay Elementary School,Erin Kollings,Grade(s) K-5,E,Washington,303,33%,15,24%,54%,94%,24,8,1,15%,Yes,20,Decrease,1,25,85%,Decrease,2%,80%,Average,47%,No Change,,51%,37%,Decrease,3%,44%,68%,Decrease,13%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1169,McKinley Elementary School,Aki Mori,Grade(s) K-5,E,Washington,613,30%,27,12%,59%,95%,42,10,1,22%,No,23,Increase,1,25,83%,Decrease,2%,80%,Low,51%,Increase,11%,51%,37%,Decrease,1%,44%,60%,Increase,1%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1182,Meadow Park Middle School,Jared Freeman,Grade(s) 6-8,M,Washington,845,33%,33,15%,45%,96%,47,8,3,27%,No,27,Increase,2,25,82%,Decrease,3%,80%,Average,58%,Increase,3%,56%,48%,Increase,2%,41%,61%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,1170,Montclair Elementary School,Sean Leverty,Grade(s) K-5,E,Washington,328,9%,15,10%,22%,93%,18,5,1,11%,No,22,Increase,1,25,92%,Increase,1%,80%,Average,74%,Increase,5%,51%,68%,Increase,4%,44%,84%,Decrease,>11%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1183,Mountain View Middle School,Wendy Rider,Grade(s) 6-8,M,Washington,857,37%,30,18%,56%,97%,48,9,3,20%,No,28,Increase,1,25,79%,Increase,1%,80%,Average,49%,Increase,2%,56%,36%,Decrease,2%,41%,48%,No Change,,61%,,,,,,,,,,,,
2243,Beaverton SD 48J,5381,Mountainside High School,Todd Corsetti,Grade(s) 9-12,H,Washington,885,17%,33,11%,22%,96%,44,10,3,-1,No,32,New School,,25,87%,New School,,80%,,,,,,,,,,,,,,95%,New School,,85%,*,No Change,,,*,No Change,,
2243,Beaverton SD 48J,1303,Nancy Ryles Elementary School,Kayla Bell,Grade(s) K-5,E,Washington,580,13%,24,8%,18%,96%,30,6,1,15%,No,24,Decrease,2,25,91%,Increase,1%,80%,Average,77%,Increase,3%,51%,68%,Increase,3%,44%,80%,Increase,2%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1171,Oak Hills Elementary School,Sheila Baumgardner,Grade(s) K-5,E,Washington,562,15%,32,9%,17%,94%,34,9,1,23%,Yes,22,Decrease,1,25,91%,Decrease,1%,80%,High,78%,No Change,,51%,75%,Decrease,2%,44%,88%,No Change,,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1172,Raleigh Hills Elementary School,Peter McDougal,Grade(s) K-8,E,Washington,552,27%,18,14%,43%,96%,37,11,1,22%,Yes,25,Decrease,2,25,86%,Increase,1%,80%,Average,62%,Decrease,1%,54%,55%,Decrease,1%,42%,81%,Increase,2%,64%,,,,,,,,,,,,
2243,Beaverton SD 48J,1173,Raleigh Park Elementary School,Brian Curl,Grade(s) K-5,E,Washington,374,24%,14,17%,37%,92%,26,6,1,18%,No,23,Increase,1,25,92%,Increase,1%,80%,Low,65%,Decrease,3%,51%,58%,Decrease,7%,44%,75%,Increase,6%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1174,Ridgewood Elementary School,Cary Meier,Grade(s) K-5,E,Washington,430,7%,15,17%,19%,92%,29,11,1,9%,No,22,No Change,,25,87%,Decrease,3%,80%,High,76%,Increase,2%,51%,70%,Increase,2%,44%,84%,Decrease,3%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,1175,Rock Creek Elementary School,Tiffany Wiencken,Grade(s) K-5,E,Washington,569,15%,31,12%,22%,91%,31,6,1,20%,Yes,24,Decrease,1,25,88%,Decrease,3%,80%,High,73%,Increase,2%,51%,67%,Decrease,1%,44%,83%,Decrease,5%,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,5382,Sato Elementary School,Annie Pleau,Grade(s) K-5,E,Washington,542,20%,29,9%,13%,95%,31,8,1,-1,No,23,New School,,25,90%,New School,,80%,*,85%,New School,,51%,78%,New School,,44%,85%,New School,,65%,,,,,,,,,,,,
2243,Beaverton SD 48J,2781,Scholls Heights Elementary School,Tracy Bariao-Arce,Grade(s) K-5,E,Washington,545,13%,23,14%,17%,97%,30,14,1,23%,Yes,23,Increase,1,25,93%,No Change,,80%,Average,78%,Increase,2%,51%,78%,No Change,,44%,87%,Decrease,4%,65%,,,,,,,,,,,,
